448	CA-2016-166674	04-01-2016	04-03-2016	Second Class	RB-19360	Raymond Buch	Consumer	United States	Auburn	New York	13021	East	OFF-AR-10000588	Office Supplies	Art	Newell 345	59.52	3	0	15.4752
449	CA-2016-166674	04-01-2016	04-03-2016	Second Class	RB-19360	Raymond Buch	Consumer	United States	Auburn	New York	13021	East	OFF-ST-10001469	Office Supplies	Storage	Fellowes Bankers Box Recycled Super Stor/Drawer	161.94	3	0	9.7164
450	CA-2016-166674	04-01-2016	04-03-2016	Second Class	RB-19360	Raymond Buch	Consumer	United States	Auburn	New York	13021	East	OFF-AR-10001953	Office Supplies	Art	Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener	263.88	6	0	71.2476
451	CA-2016-166674	04-01-2016	04-03-2016	Second Class	RB-19360	Raymond Buch	Consumer	United States	Auburn	New York	13021	East	OFF-AR-10003156	Office Supplies	Art	50 Colored Long Pencils	30.48	3	0	7.9248
452	CA-2016-166674	04-01-2016	04-03-2016	Second Class	RB-19360	Raymond Buch	Consumer	United States	Auburn	New York	13021	East	OFF-AR-10004974	Office Supplies	Art	Newell 342	9.84	3	0	2.8536
453	CA-2016-166674	04-01-2016	04-03-2016	Second Class	RB-19360	Raymond Buch	Consumer	United States	Auburn	New York	13021	East	TEC-PH-10002365	Technology	Phones	Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S	35.12	4	0	9.1312
647	CA-2016-103947	04-01-2016	04-08-2016	Standard Class	BB-10990	Barry Blumstein	Corporate	United States	Sierra Vista	Arizona	85635	West	OFF-FA-10003112	Office Supplies	Fasteners	Staples	31.56	5	0.2	9.8625
648	CA-2016-103947	04-01-2016	04-08-2016	Standard Class	BB-10990	Barry Blumstein	Corporate	United States	Sierra Vista	Arizona	85635	West	OFF-AP-10002350	Office Supplies	Appliances	Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector	30.144	2	0.2	3.0144
3967	CA-2016-149902	04-01-2016	04-06-2016	Standard Class	DW-13540	Don Weiss	Consumer	United States	New York City	New York	10024	East	OFF-AR-10002956	Office Supplies	Art	Boston 16801 Nautilus Battery Pencil Sharpener	88.04	4	0	22.8904
4090	CA-2016-161473	04-01-2016	04-05-2016	Standard Class	TB-21175	Thomas Boland	Corporate	United States	New York City	New York	10035	East	OFF-LA-10001297	Office Supplies	Labels	Avery 473	20.7	2	0	9.936
4091	CA-2016-161473	04-01-2016	04-05-2016	Standard Class	TB-21175	Thomas Boland	Corporate	United States	New York City	New York	10035	East	OFF-SU-10001574	Office Supplies	Supplies	Acme Value Line Scissors	10.95	3	0	3.285
4092	CA-2016-161473	04-01-2016	04-05-2016	Standard Class	TB-21175	Thomas Boland	Corporate	United States	New York City	New York	10035	East	OFF-BI-10003305	Office Supplies	Binders	Avery Hanging File Binders	14.352	3	0.2	4.6644
5142	CA-2016-111213	04-01-2016	04-05-2016	Standard Class	FP-14320	Frank Preis	Consumer	United States	New York City	New York	10009	East	FUR-CH-10000454	Furniture	Chairs	Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back	1317.492	6	0.1	292.776
5143	CA-2016-111213	04-01-2016	04-05-2016	Standard Class	FP-14320	Frank Preis	Consumer	United States	New York City	New York	10009	East	OFF-SU-10000946	Office Supplies	Supplies	Staple remover	63.84	8	0	18.5136
5144	CA-2016-111213	04-01-2016	04-05-2016	Standard Class	FP-14320	Frank Preis	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004140	Office Supplies	Binders	Avery Non-Stick Binders	3.592	1	0.2	1.1225
5643	CA-2016-127985	04-01-2016	04-05-2016	Second Class	DB-12910	Daniel Byrd	Home Office	United States	Columbus	Georgia	31907	South	FUR-FU-10003274	Furniture	Furnishings	Regeneration Desk Collection	7.04	4	0	3.0976
8523	US-2016-160206	04-01-2016	04-07-2016	Standard Class	MY-18295	Muhammed Yedwab	Corporate	United States	Milwaukee	Wisconsin	53209	Central	TEC-PH-10000148	Technology	Phones	Cyber Acoustics AC-202b Speech Recognition Stereo Headset	12.99	1	0	0.2598
